track_id,track_name,artist_name,year,popularity,album_name,language,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms
3r0xueM2yL26rAMftpp3Pd,O Saathi (Lofi Mix),Arijit Singh,2022,48,O Saathi (Lofi Mix),Hindi,88.022,0.587,0.322,0.213,0.719,0.113,0.0245,0.00111,247841.0
4xzIlCZHclhMFlJuDTIz9E,Payphone,Maroon 5,2022,48,Kids Songs: Summer Camp!,English,110.014,0.699,0.801,0.618,0.0114,0.327,0.0342,0.0,222707.0
6ms6ZqngVJxqfQiyXLrC3E,ひとりの夜 (Hitori no Yoru),TOMORROW X TOGETHER,2022,48,GOOD BOY GONE BAD,Korean,149.868,0.483,0.483,0.36,0.289,0.368,0.0328,0.0,218867.0
1a182s1ypBPdFs6zOnUGjg,The King,ATEEZ,2022,48,BEYOND : ZERO,Korean,127.027,0.637,0.828,0.416,0.00331,0.203,0.0318,1.72e-05,192200.0
4mFOAfQQZ1U3NVBoamJfGR,Outro : Day 2,ENHYPEN,2022,48,DIMENSION : ANSWER,Korean,89.831,0.36,0.586,0.0368,0.0752,0.0835,0.036,0.0889,112289.0
3nV2Yjy2aJjUl74p0tEfWf,Make the change,ENHYPEN,2022,48,Make the change,Korean,110.994,0.807,0.767,0.855,0.0308,0.285,0.0777,0.0,187000.0
3gSGchfwjDKKVOE3RRXDSZ,Alcohol-Free - Japanese ver.,TWICE,2022,48,#TWICE4 (Japanese ver.),Korean,96.987,0.683,0.925,0.669,0.0336,0.11,0.0553,1.59e-05,213547.0
6X5yUYQz3bKq0EZ0n82rqP,MANIAC -Japanese ver.-,Stray Kids,2022,48,MANIAC -Japanese ver.-,Korean,90.019,0.731,0.759,0.677,0.145,0.064,0.256,0.0,184787.0
6poVmpGU3y3jj1Z9xbbbH4,"Weapon (With Newnion, FLOOR) (Prod.Czaer)",ITZY,2022,48,Street Dance Girls Fighter(SGF) Special,Korean,168.024,0.575,0.931,0.521,0.0162,0.417,0.0867,1.44e-06,220653.0
1TDlDMp9J4cpHj77DETvVb,The Song,BTOB,2022,48,Be Together,Korean,135.881,0.529,0.646,0.408,0.162,0.363,0.0702,0.0,248133.0
1NfnyCDpRMTso2ow5fcfTL,Bas,"Jaz Dhami, Karan Aujla, Yeah Proof",2022,48,Bas,Hindi,100.034,0.87,0.477,0.729,0.0134,0.281,0.0722,0.0,150141.0
2nAYtYNlryXF1GyRUlGMTO,Laut Aana,Karan Aujla,2022,48,Laut Aana,Hindi,83.948,0.52,0.662,0.45,0.382,0.336,0.0381,0.0,217227.0
5RHFgozacy0EfW6DqWN5aL,Ai,"Paal Dabba, VENGAYA ISAAC PERUMAL",2022,48,Ai,Tamil,114.928,0.909,0.694,0.4,0.424,0.125,0.19,1.42e-06,184652.0
7HhiFHVmeM50rHXw7FlgNH,Jala Jala Jalapaatham Nuvvu,"Devi Sri Prasad, Jaspreet Jasz, Shreya Ghoshal",2021,48,Uppena,Unknown,91.988,0.679,0.457,0.443,0.853,0.0974,0.0373,0.000402,252065.0
6HDBzDFSDYSmKzadobMr7e,"Tera Hua (From ""Cash"")","Arijit Singh, Akull, Riya Duggal",2021,48,"Tera Hua (From ""Cash"")",Hindi,147.803,0.473,0.435,0.362,0.724,0.209,0.0286,0.0,253500.0
06fglfpCAtDtmlyfJYgA01,Save Your Tears,The Weeknd,2021,48,The Highlights,English,118.065,0.685,0.816,0.619,0.0216,0.439,0.0308,2.05e-05,215627.0
5OvpZeRmZEBPp7Vgp0n6oj,Ice Cream,TOMORROW X TOGETHER,2021,48,The Chaos Chapter: FIGHT OR ESCAPE,Korean,97.969,0.823,0.526,0.698,0.0327,0.0825,0.0692,0.0,204358.0
6jUqjExnh8QBGd7RtnAIJF,"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",TOMORROW X TOGETHER,2021,48,"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",Korean,101.819,0.61,0.626,0.481,0.363,0.405,0.031,0.0,205148.0
5aypcJTIDUwyddBElM1yxc,"逆燃 Warrior (JOSHUA, 文俊辉, 徐明浩, MINGYU, VERNON from SEVENTEEN)",SEVENTEEN,2021,48,"逆燃 Warrior (JOSHUA, 文俊辉, 徐明浩, MINGYU, VERNON from SEVENTEEN)",Unknown,179.97,0.533,0.701,0.118,0.00384,0.137,0.0521,1.96e-06,180237.0
2azA5xETy3lbS9DAc5N7xI,Answer (Ode to Joy) (feat. LA POEM),"ATEEZ, LA POEM",2021,48,ZERO : FEVER EPILOGUE,Korean,98.068,0.29,0.718,0.0399,0.0223,0.185,0.0498,0.0,266595.0
20PaIK7cbEwnYFQrLU8USm,Intro : Whiteout,ENHYPEN,2021,48,DIMENSION : DILEMMA,Korean,138.594,0.378,0.782,0.507,0.0353,0.358,0.082,0.0268,99338.0
4rZ6LHapeH1Cnxgvu8SrFK,Good at Love,TWICE,2021,48,Perfect World,Korean,91.021,0.745,0.684,0.37,0.0513,0.117,0.0568,0.0,231233.0
0QPYsEvaoEJzZLSF5Cq390,LOCO - English Ver.,ITZY,2021,48,CRAZY IN LOVE,Korean,101.957,0.736,0.867,0.534,0.00781,0.351,0.216,1.63e-05,191462.0
0p3flPNocJa64LB7pZDiTZ,so let's love,DAY6,2021,48,The Book of Us : Negentropy - Chaos swallowed up in love,Korean,150.147,0.474,0.703,0.212,0.0213,0.259,0.035,0.0,222251.0
1yK3UpUUace4yhFFL1uaHp,above the clouds,DAY6,2021,48,The Book of Us : Negentropy - Chaos swallowed up in love,Korean,165.942,0.532,0.658,0.287,0.00795,0.329,0.0314,0.0,258052.0
1jkO79LWdg5RjkSZ2VfuTo,COME TO ME,TREASURE,2021,48,THE FIRST STEP : TREASURE EFFECT,Unknown,104.999,0.858,0.777,0.696,0.208,0.161,0.0508,0.0,204493.0
406szmvIaQo0EATtjcf19k,BEAUTIFUL,TREASURE,2021,48,THE FIRST STEP : TREASURE EFFECT,Unknown,128.032,0.691,0.685,0.355,0.107,0.162,0.0367,0.0,229850.0
6e3oGWsdfHSKBCFv548RRm,"Where Do I Fit In (feat. Tori Kelly, Chandler Moore & Judah Smith)","Justin Bieber, Tori Kelly, Chandler Moore, Judah Smith",2021,48,Freedom.,English,113.922,0.389,0.261,0.379,0.82,0.134,0.0343,5.72e-05,286453.0
6EKDPhgCDL2cwRvloAEwSP,Name (feat. Tori Kelly),"Justin Bieber, Tori Kelly",2021,48,Justice (Triple Chucks Deluxe),English,151.658,0.45,0.324,0.291,0.829,0.089,0.0264,0.0,159724.0
0MNQfyuXPAUfNQhFKHqlsA,Bandook,Karan Aujla,2021,48,Bandook,Hindi,169.707,0.617,0.626,0.485,0.0439,0.259,0.127,0.0,200192.0
3lKfblrmg9wwRbK6y8EUkl,Veyyon Silli,"G. V. Prakash, Harish Sivaramakrishnan",2020,48,Soorarai Pottru (Original Motion Picture Soundtrack),Tamil,120.006,0.67,0.6,0.66,0.191,0.168,0.0397,0.0,303381.0
4tkSvA7zfuhwgHQbEeNEJU,"Kaathodu Kaathanen (From ""Jail"")","G. V. Prakash, Dhanush, Aditi Rao Hydari",2020,48,"Kaathodu Kaathanen (From ""Jail"")",Tamil,80.06,0.368,0.174,0.326,0.739,0.122,0.0327,0.000262,310000.0
2L2YNB3YIletW4fUtwphDv,Shayad - Reprise,"Pritam, Arijit Singh, Madhubanti Bagchi",2020,48,Love Aaj Kal (Original Motion Picture Soundtrack),Hindi,135.849,0.432,0.535,0.322,0.904,0.102,0.032,0.000641,245735.0
30PPEJ1pEhtVnrgVNK5MEw,Chedkhaniyaan,"Shankar-Ehsaan-Loy, Shivam Mahadevan, Pratibha Singh Baghel",2020,48,Bandish Bandits (Original Series Soundtrack),Unknown,92.008,0.771,0.659,0.587,0.216,0.102,0.0674,0.0,198261.0
0x3CUvkL4jUPYVONrYUubR,betty,Taylor Swift,2020,48,folklore,English,96.029,0.59,0.379,0.467,0.544,0.0983,0.0255,0.0,294521.0
7klXN6RCN5Rj0VeYO5gBzU,mad woman,Taylor Swift,2020,48,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],English,141.898,0.593,0.7,0.451,0.67,0.116,0.0492,6.77e-06,237267.0
0O9i6jhscByEJs1ipy5hu4,peace,Taylor Swift,2020,48,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],English,150.072,0.644,0.284,0.328,0.916,0.0909,0.0821,1.5e-05,234000.0
5MFjHn1qfR9AsWuyzJLk1z,epiphany,Taylor Swift,2020,48,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],English,93.933,0.317,0.254,0.103,0.727,0.0867,0.0286,0.000326,289747.0
083PvB3ID4h3jiGJ1GbbPA,Dynamite (Acoustic Remix),BTS,2020,48,Dynamite (DayTime Version),Korean,113.943,0.656,0.889,0.575,0.0228,0.366,0.203,7.56e-06,197994.0
5PKKJ4fo3ZuGcYKkI79fgf,Heartless,The Weeknd,2020,48,After Hours,English,84.969,0.614,0.758,0.25,0.0281,0.137,0.0774,1.18e-06,198267.0
3V937b8IsyJ0ZvVHxreiMs,Faith,The Weeknd,2020,48,After Hours (Deluxe),English,175.472,0.355,0.605,0.123,0.614,0.146,0.0774,0.0483,283217.0
51a6oFNsFpB2zew1tdzT6I,Escape From LA,The Weeknd,2020,48,After Hours (Deluxe),English,146.099,0.423,0.548,0.169,0.0476,0.187,0.0567,0.00269,355960.0
4LKx0dlvzsmntdhMCTtV97,Too Late,The Weeknd,2020,48,After Hours (Deluxe),English,119.949,0.64,0.869,0.185,0.0514,0.691,0.124,0.000121,239980.0
5Sg09MvHqNWPWsYeuY2toY,Blinding Lights,The Weeknd,2020,48,After Hours (Deluxe),English,170.962,0.518,0.727,0.342,0.00153,0.0882,0.0557,0.000152,200046.0
4eQO9RHTjYT1O9DTuZLj9v,Blinding Lights,The Weeknd,2020,48,After Hours (Deluxe),English,170.962,0.518,0.727,0.342,0.00153,0.0882,0.0557,0.000152,200046.0
5GM4EsVHaxGjzgQ81S2J61,Hardest To Love,The Weeknd,2020,48,After Hours (Deluxe),English,81.186,0.466,0.609,0.103,0.0911,0.122,0.065,9.32e-05,211402.0
7xH1V8qRKEOCCqIJBvlTva,Love Song,NCT 127,2020,48,NCT #127 Neo Zone - The 2nd Album,Korean,129.843,0.652,0.783,0.664,0.048,0.0866,0.143,0.0,215160.0
