track_id,track_name,artist_name,year,popularity,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms,lead_artist
6uwfVkaOM1mcMkFmSn35ix,"no body, no crime (feat. HAIM)","Taylor Swift, HAIM",2021,68,79.015,0.546,0.613,0.535,0.418,0.103,0.0264,0.0,215627.0,Taylor Swift
43Ykum9T72UOPhBN31grpN,ivy,Taylor Swift,2021,68,88.856,0.515,0.545,0.535,0.855,0.0921,0.0353,1.97e-05,260440.0,Taylor Swift
2r9CbjYgFhtAmcFv1cSquB,I Almost Do (Taylor's Version),Taylor Swift,2021,68,145.88,0.511,0.559,0.248,0.0167,0.113,0.0264,0.0,244587.0,Taylor Swift
2awNGIJHodfLZSClB3PYhz,coney island (feat. The National),"Taylor Swift, The National",2021,68,107.895,0.537,0.537,0.292,0.819,0.142,0.0617,0.000904,275320.0,Taylor Swift
5uICWmZTLkpEVbK22PBP6e,marjorie,Taylor Swift,2021,68,96.103,0.535,0.561,0.287,0.876,0.115,0.0484,0.000136,257773.0,Taylor Swift
4IQkfUsrwXol38VV3U7t7T,Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),"Taylor Swift, Ed Sheeran",2021,68,125.039,0.61,0.488,0.443,0.817,0.312,0.0293,0.0,240227.0,Taylor Swift
44tTqUi3xi7E28QLzHVdUA,Anti-Romantic,TOMORROW X TOGETHER,2021,68,142.977,0.641,0.489,0.206,0.0509,0.071,0.11,0.0,215188.0,TOMORROW X TOGETHER
3IhtE4fkytdrtEfV34UzkD,betty,Taylor Swift,2020,68,95.946,0.595,0.376,0.476,0.589,0.0989,0.0256,0.0,294520.0,Taylor Swift
73YUReisjb3A9ActdLLjJQ,happiness,Taylor Swift,2020,68,122.079,0.559,0.334,0.211,0.87,0.114,0.0376,0.0,315147.0,Taylor Swift
08fa9LFcFBTcilB3iq2e2A,epiphany,Taylor Swift,2020,68,94.219,0.354,0.267,0.113,0.731,0.0858,0.0281,0.000402,289749.0,Taylor Swift
3orEOtd8CPL8GFlpRpKuoE,Faith,The Weeknd,2020,68,175.946,0.375,0.605,0.128,0.612,0.147,0.0729,0.0448,283227.0,The Weeknd
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",2020,68,86.919,0.673,0.704,0.372,0.196,0.0898,0.36,0.0,212093.0,Justin Bieber
364dI1bYnvamSnBJ8JcNzN,Intentions,"Justin Bieber, Quavo",2020,68,148.014,0.811,0.553,0.86,0.317,0.105,0.0552,0.0,212869.0,Justin Bieber
3zl7j5ua8mF4JDYuxrfo01,Perfect Symphony (Ed Sheeran & Andrea Bocelli),"Ed Sheeran, Andrea Bocelli",2017,68,95.156,0.544,0.417,0.207,0.586,0.085,0.0247,0.0,265363.0,Ed Sheeran
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),"Justin Bieber, BloodPop®",2017,68,104.979,0.743,0.735,0.631,0.00389,0.304,0.0382,0.0,189467.0,Justin Bieber
4mU5iXHeLgbR94siF7p1sY,Six Feet Under,The Weeknd,2016,68,140.035,0.772,0.504,0.244,0.129,0.125,0.0761,0.0,237573.0,The Weeknd
4oeaIftdpT3JuZLcCkKmVE,False Alarm,The Weeknd,2016,68,173.978,0.517,0.677,0.192,0.0324,0.189,0.0746,3.37e-05,220307.0,The Weeknd
00NAQYOP4AmWR549nnYJZu,Secrets,The Weeknd,2016,68,109.945,0.664,0.771,0.763,0.0155,0.46,0.0533,9.6e-06,265600.0,The Weeknd
1L8ObNUDCh7k6GwDIbfx9Q,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna",2024,67,99.02,0.853,0.676,0.85,0.0571,0.39,0.186,3.92e-05,215467.0,The Weeknd
24emu3sabKISjRkrys28jq,Lavender Haze,Taylor Swift,2023,67,97.043,0.735,0.454,0.0751,0.236,0.133,0.0876,0.00113,202396.0,Taylor Swift
4eKMqf9ZMSclDX7V9Ptg7x,Midnight Rain,Taylor Swift,2023,67,140.15,0.654,0.372,0.198,0.705,0.114,0.0667,6.78e-05,174783.0,Taylor Swift
4evLyY5Ue1Wesc61t2KXAU,Superman (Taylor's Version),Taylor Swift,2023,67,131.93,0.533,0.742,0.356,0.0031,0.108,0.0303,0.0,274945.0,Taylor Swift
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),Taylor Swift,2023,67,92.021,0.545,0.885,0.206,0.000537,0.385,0.0447,5.59e-05,235800.0,Taylor Swift
0VpF6RLdCfPIeYRwMu4tZK,Bejeweled,Taylor Swift,2023,67,164.0,0.695,0.546,0.425,0.0648,0.0883,0.066,0.000128,194166.0,Taylor Swift
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),Taylor Swift,2023,67,96.057,0.733,0.733,0.701,0.0885,0.168,0.067,0.0,231833.0,Taylor Swift
5qIHFdkW6phMsTZlN2g8Lc,Anti-Hero,Taylor Swift,2023,67,96.935,0.637,0.649,0.497,0.115,0.147,0.0584,1.22e-06,200690.0,Taylor Swift
0pjBqAz8GlxGlpaU4W0DxS,Cruel Summer - LP Giobbi Remix,"Taylor Swift, LP Giobbi",2023,67,122.99,0.731,0.722,0.265,0.0893,0.112,0.0691,0.00256,192900.0,Taylor Swift
7mYwDmbbp8UPLlnRjTJ54X,Impurities,LE SSERAFIM,2023,67,180.126,0.597,0.766,0.453,0.244,0.0664,0.0982,0.0,196365.0,LE SSERAFIM
7txjUEY6McJDJKqIo1Rxjp,Acróstico - Milan + Sasha,Shakira,2023,67,143.756,0.741,0.461,0.303,0.839,0.0985,0.105,0.0,170786.0,Shakira
6wAFvJPpTZVirBKGZ4EnMW,Glitch,Taylor Swift,2022,67,140.864,0.675,0.466,0.347,0.361,0.11,0.201,0.0,148781.0,Taylor Swift
0jvo9CjnbR0lYUDTSNTMiu,Bejeweled,Taylor Swift,2022,67,164.003,0.7,0.55,0.412,0.0661,0.091,0.0653,0.000102,194166.0,Taylor Swift
4axSuOg3BqsowKjRpj59RU,Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,2022,67,115.851,0.476,0.189,0.324,0.904,0.254,0.0329,4.52e-06,264439.0,Taylor Swift
6sCvvleqKbeyOkQDieBYgp,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,67,177.115,0.247,0.299,0.172,0.899,0.131,0.0315,0.0,196520.0,Rihanna
2Ghp894n1laIf2w98VeAOJ,How Do I Make You Love Me?,The Weeknd,2022,67,121.006,0.805,0.498,0.636,0.0203,0.085,0.0737,2.37e-05,214215.0,The Weeknd
52OkpDsU6MmPx1AwGOb6Ap,cowboy like me,Taylor Swift,2021,67,127.967,0.604,0.517,0.511,0.768,0.123,0.0347,0.000155,275040.0,Taylor Swift
7eQj6r5PIdYKEIZjucBMcq,Stay Stay Stay (Taylor's Version),Taylor Swift,2021,67,100.02,0.693,0.681,0.663,0.0848,0.0768,0.025,0.0,205787.0,Taylor Swift
4uuEGH5SVuzkkSFjo2DEiY,Don't You (Taylor's Version) (From The Vault),Taylor Swift,2021,67,101.934,0.563,0.473,0.405,0.514,0.109,0.0503,1.2e-05,208609.0,Taylor Swift
55Vf4bimc1Rtfg0PAQRAo2,happiness,Taylor Swift,2021,67,122.079,0.559,0.334,0.211,0.87,0.114,0.0376,0.0,315147.0,Taylor Swift
0NRHj8hDwwmSPaA41o379r,The Moment I Knew (Taylor's Version),Taylor Swift,2021,67,125.952,0.636,0.402,0.208,0.0494,0.107,0.031,0.0,285280.0,Taylor Swift
3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,2021,67,116.012,0.611,0.552,0.41,0.256,0.134,0.031,0.0,263533.0,Taylor Swift
5VYWxXUpxuxEmCqMLDqICo,long story short,Taylor Swift,2021,67,157.895,0.546,0.73,0.573,0.66,0.0972,0.0417,0.179,215920.0,Taylor Swift
7A2cNLRT0YJc1yjxHlKihs,Starlight (Taylor's Version),Taylor Swift,2021,67,126.014,0.628,0.685,0.605,0.00324,0.18,0.0358,0.0,220413.0,Taylor Swift
7HC7R2D8WjXVcUHJyEGjRs,Breathe (feat. Colbie Caillat) (Taylor's Version),"Taylor Swift, Colbie Caillat",2021,67,148.035,0.506,0.626,0.321,0.156,0.228,0.0287,0.0,263377.0,Taylor Swift
4e5ayHsOLJNLTGfjau2mEw,The Lucky One (Taylor's Version),Taylor Swift,2021,67,117.889,0.686,0.571,0.538,0.066,0.0608,0.05,0.0,240467.0,Taylor Swift
0tQ9vBYpldCuikPsbgOVKA,Untouchable (Taylor's Version),Taylor Swift,2021,67,200.391,0.393,0.531,0.224,0.0181,0.169,0.0329,0.0,312107.0,Taylor Swift
